,index,#,Name,Type 1,Type 2,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
71,603,543,Venipede,Bug,Poison,30,45,59,30,39,57,5,False
72,604,544,Whirlipede,Bug,Poison,40,55,99,40,79,47,5,False
73,605,545,Scolipede,Bug,Poison,60,100,89,55,69,112,5,False
74,606,546,Cottonee,Grass,Fairy,40,27,60,37,50,66,5,False
75,607,547,Whimsicott,Grass,Fairy,60,67,85,77,75,116,5,False
76,608,548,Petilil,Grass,,45,35,50,70,50,30,5,False
77,609,549,Lilligant,Grass,,70,60,75,110,75,90,5,False
78,617,556,Maractus,Grass,,75,86,67,106,67,60,5,False
79,651,590,Foongus,Grass,Poison,69,55,45,55,55,15,5,False
80,652,591,Amoonguss,Grass,Poison,114,85,70,85,80,30,5,False
81,658,597,Ferroseed,Grass,Steel,44,50,91,24,86,10,5,False
82,659,598,Ferrothorn,Grass,Steel,74,94,131,54,116,20,5,False
83,701,640,Virizion,Grass,Fighting,91,90,72,90,129,108,5,True
84,718,650,Chespin,Grass,,56,61,65,48,45,38,6,False
85,719,651,Quilladin,Grass,,61,78,95,56,58,57,6,False
86,720,652,Chesnaught,Grass,Fighting,88,107,122,74,75,64,6,False
87,740,672,Skiddo,Grass,,66,65,48,62,57,52,6,False
88,741,673,Gogoat,Grass,,123,100,62,97,81,68,6,False
